timestamp	script_id	model	status	weighted_avg	category	singular_vision	character_depth	thematic_ambition	emotional_specificity	world_originality	dialogue_language	boldness	label	outcome	error
2026-03-17T03:31:15.221744	10_Things_I_Hate_About_You_1x01_-_Pilot	openai	success	4.3	Competent	4	5	4	5	3	5	3	loser	0	
2026-03-17T15:13:57.211085	12_Monkeys_1x01_-_Pilot	openai	success	7.25	Exceptional	7	8	7	7	8	6	8	loser	0	
2026-03-17T03:32:44.267896	13146-Mindhunter-Pilot-101-by-Joe-Penhall	openai	success	7.8	Exceptional	8	8	8	8	7	7	8	loser	0	
2026-03-17T03:33:31.782040	13_Reasons_Why_1x01_-_Pilot	openai	success	7.65	Exceptional	8	7	8	8	7	7	9	loser	0	
2026-03-17T03:34:13.768451	24_Legacy_1x01_-_12.00_PM_-_1.00_PM	openai	success	5.5	Competent	5	6	5	6	6	5	6	loser	0	
2026-03-17T03:34:29.947717	30_Rock_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T03:35:14.492136	666_Park_Avenue_1x01_-_Pilot	openai	success	5.45	Competent	5	5	6	6	6	5	6	loser	0	
2026-03-17T03:35:56.067090	77987-Bojack-Horseman-Pilot-by-Raphael-Bob-Waksberg	openai	success	8.8	Transcendent	9	9	9	9	8	8	9	loser	0	
2026-03-17T03:36:14.016880	84622-Friday-Night-Lights-1x01-Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T03:36:57.855874	9JKL_1x01_-_Pilot	openai	success	4.0	Competent	3	5	4	4	4	5	3	loser	0	
2026-03-17T03:37:44.328937	AMC - The Killing 1x01	openai	success	7.05	Exceptional	8	7	7	7	6	6	7	loser	0	
2026-03-17T03:38:29.759543	AP_Bio_1x01_-_Pilot	openai	success	6.7	Promising	7	7	6	6	7	7	7	loser	0	
2026-03-17T15:15:07.391402	A_Gifted_Man_1x01_-_Pilot	openai	success	7.2	Exceptional	7	8	7	7	7	7	7	loser	0	
2026-03-17T15:16:07.960268	A_Midsummer's_Nightmare_1x01_-_Pilot	openai	success	6.15	Promising	6	6	6	6	7	6	7	loser	0	
2026-03-17T03:40:53.134983	A_Million_Little_Things_1x01_-_Pilot	openai	success	5.15	Competent	4	6	6	6	4	5	5	loser	0	
2026-03-17T15:17:07.963296	A_To_Z_1x01_-_Pilot	openai	success	6.65	Promising	7	7	6	6	7	7	6	loser	0	
2026-03-17T03:42:36.541879	Abbys_1x01_-_Pilot	openai	success	6.35	Promising	6	7	6	6	7	7	5	loser	0	
2026-03-17T03:44:01.456315	About_a_Boy_-_1x01_-_Pilot	openai	success	6.2	Promising	6	7	6	7	5	6	5	loser	0	
2026-03-17T03:44:59.840301	Accidentally_On_Purpose_1x01_-_Pilot	openai	success	4.2	Competent	3	5	4	5	4	5	4	loser	0	
2026-03-17T18:06:38.061811	Across_the_River_to_Motor_City_1x01_-_Pilot	openai	success	7.2	Exceptional	7	7	8	8	7	6	7	loser	0	
2026-03-17T03:47:06.186330	Action_1x01_-_Pilot	openai	success	5.5	Promising	5	6	5	5	6	6	7	loser	0	
2026-03-17T03:48:05.777356	Agent_X_1x01_-_Pilot	openai	success	5.7	Promising	5	6	6	5	7	6	6	loser	0	
2026-03-17T03:49:13.885120	Alex_Inc_1x01_-_Pilot	openai	success	5.15	Competent	5	6	5	5	4	6	4	loser	0	
2026-03-17T03:50:08.157646	Alexa_And_Katie_1x01_-_Pilot	openai	success	6.0	Promising	6	6	6	7	5	6	5	loser	0	
2026-03-17T03:50:33.657827	Aliens_In_America_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T03:51:33.102943	All_American_1x01_-_Pilot	openai	success	6.45	Promising	6	7	6	7	6	7	6	loser	0	
2026-03-17T03:52:36.822362	All_Night_1x01_-_Pilot	openai	success	4.55	Competent	4	5	4	5	5	5	4	loser	0	
2026-03-17T03:53:49.527159	All_Rise_1x01_-_Pilot	openai	success	5.45	Competent	5	6	6	6	5	5	4	loser	0	
2026-03-17T05:54:09.355150	Allegiance_1x01_-_Pilot	openai	success	7.55	Exceptional	7	8	8	8	7	7	8	loser	0	
2026-03-17T03:54:53.150494	Almost_Human_1x01_-_Pilot	openai	success	5.5	Competent	5	6	5	6	6	5	6	loser	0	
2026-03-17T03:55:46.288690	Alone_Together_1x01_-_Pilot	openai	success	6.35	Promising	6	7	6	7	5	7	6	loser	0	
2026-03-17T03:56:29.160543	Alphas_1x01_-_Pilot	openai	success	4.85	Competent	5	5	5	5	4	5	4	loser	0	
2026-03-17T03:57:22.348600	American_Crime_1x01_-_Pilot	openai	success	6.95	Promising	7	7	8	7	6	6	7	loser	0	
2026-03-17T03:57:59.078318	American_Gods_1x01_-_Pilot_(Jan_2_2015)	openai	success	8.3	Exceptional	8	8	9	8	9	8	9	loser	0	
2026-03-17T03:58:39.871354	American_Gothic_(2016)_1x01_-_Pilot	openai	success	5.75	Promising	5	6	6	6	6	6	6	loser	0	
2026-03-17T03:59:21.238569	American_Housewife_1x01_-_Pilot	openai	success	6.05	Promising	7	6	5	6	5	7	5	loser	0	
2026-03-17T04:00:08.178887	American_Princess_1x01_-_Pilot	openai	success	7.0	Exceptional	7	7	6	7	8	7	8	loser	0	
2026-03-17T15:19:32.648552	American_Superstore_1x01_-_Pilot	openai	success	5.6	Promising	5	6	6	6	5	6	5	loser	0	
2026-03-17T04:01:42.030073	American_Woman_1x01_-_Pilot	openai	success	6.45	Promising	7	7	6	6	5	7	6	loser	0	
2026-03-17T04:01:56.357105	Andy_Barker_PI_1x01_-_Pilot	openai	success	1.0	Generic	1	1	1	1	1	1	1	loser	0	
2026-03-17T04:02:26.130072	Angel_From_Hell_1x01_-_Pilot	openai	success	4.4	Competent	4	5	4	5	4	5	3	loser	0	
2026-03-17T04:03:03.800711	Angie_Tribeca_1x01_-_Pilot	openai	success	4.9	Competent	6	4	3	4	6	6	7	loser	0	
2026-03-17T04:03:40.752678	Animal_Kingdom_1x01_-_Pilot	openai	success	5.25	Competent	5	6	4	5	6	6	5	loser	0	
2026-03-17T04:04:13.493370	Another_Period_1x01_-_Pilot	openai	success	6.45	Promising	8	5	6	5	7	7	8	loser	0	
2026-03-17T04:04:57.016207	Apartment_23_1x01_-_Pilot	openai	success	6.45	Promising	7	7	5	6	6	7	7	loser	0	
2026-03-17T04:05:34.803199	Are_You_There,_Chelsea_1x01_-_Pilot	openai	success	5.25	Competent	6	5	4	6	4	6	5	loser	0	
2026-03-17T15:20:35.951972	Arrow_1x01_-_Pilot	openai	success	5.55	Promising	5	6	6	6	5	5	6	loser	0	
